feature_set,sampler,model,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,classification_report,confusion_matrix,train_time_seconds
raw,borderline_smote,xgboost,0.9814907453726863,0.7477582341783066,0.7238521670465715,0.9834070709562501,0.7392698199201785,0.7477582341783066,"{'Heat Dissipation Failure': {'precision': 0.9130434782608695, 'recall': 1.0, 'f1-score': 0.9545454545454546, 'support': 21.0}, 'Multiple Failures': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 4.0}, 'No Failure': {'precision': 0.9953027139874739, 'recall': 0.9865494050698397, 'f1-score': 0.9909067290205248, 'support': 1933.0}, 'Overstrain Failure': {'precision': 0.7272727272727273, 'recall': 1.0, 'f1-score': 0.8421052631578947, 'support': 16.0}, 'Power Failure': {'precision': 0.8, 'recall': 1.0, 'f1-score': 0.8888888888888888, 'support': 16.0}, 'Tool Wear Failure': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 9.0}, 'accuracy': 0.9814907453726863, 'macro avg': {'precision': 0.7392698199201785, 'recall': 0.7477582341783066, 'f1-score': 0.7238521670465715, 'support': 1999.0}, 'weighted avg': {'precision': 0.9862583405791041, 'recall': 0.9814907453726863, 'f1-score': 0.9834070709562501, 'support': 1999.0}}","[[21, 0, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0], [2, 0, 1907, 6, 2, 16], [0, 0, 0, 16, 0, 0], [0, 0, 0, 0, 16, 0], [0, 0, 9, 0, 0, 0]]",5.144
raw,none,xgboost,0.9759879939969985,0.739211074295787,0.6999471074926141,0.9789806291365104,0.7074992327676979,0.739211074295787,"{'Heat Dissipation Failure': {'precision': 0.7916666666666666, 'recall': 0.9047619047619048, 'f1-score': 0.8444444444444444, 'support': 21.0}, 'Multiple Failures': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 4.0}, 'No Failure': {'precision': 0.9942378208486118, 'recall': 0.9818934299017071, 'f1-score': 0.9880270692347736, 'support': 1933.0}, 'Overstrain Failure': {'precision': 0.6818181818181818, 'recall': 0.9375, 'f1-score': 0.7894736842105263, 'support': 16.0}, 'Power Failure': {'precision': 0.7272727272727273, 'recall': 1.0, 'f1-score': 0.8421052631578947, 'support': 16.0}, 'Tool Wear Failure': {'precision': 0.05, 'recall': 0.1111111111111111, 'f1-score': 0.06896551724137931, 'support': 9.0}, 'accuracy': 0.9759879939969985, 'macro avg': {'precision': 0.7074992327676979, 'recall': 0.739211074295787, 'f1-score': 0.6999471074926141, 'support': 1999.0}, 'weighted avg': {'precision': 0.9832326974716465, 'recall': 0.9759879939969985, 'f1-score': 0.9789806291365104, 'support': 1999.0}}","[[19, 0, 2, 0, 0, 0], [1, 2, 0, 0, 1, 0], [4, 0, 1898, 7, 5, 19], [0, 0, 1, 15, 0, 0], [0, 0, 0, 0, 16, 0], [0, 0, 8, 0, 0, 1]]",4.252
raw,smote,xgboost,0.9644822411205602,0.7713608428656281,0.685301541579956,0.9731259193452847,0.6449473457984096,0.7713608428656281,"{'Heat Dissipation Failure': {'precision': 0.84, 'recall': 1.0, 'f1-score': 0.9130434782608695, 'support': 21.0}, 'Multiple Failures': {'precision': 0.6666666666666666, 'recall': 0.5, 'f1-score': 0.5714285714285714, 'support': 4.0}, 'No Failure': {'precision': 0.9957446808510638, 'recall': 0.9684428349715468, 'f1-score': 0.981904012588513, 'support': 1933.0}, 'Overstrain Failure': {'precision': 0.64, 'recall': 1.0, 'f1-score': 0.7804878048780488, 'support': 16.0}, 'Power Failure': {'precision': 0.6818181818181818, 'recall': 0.9375, 'f1-score': 0.7894736842105263, 'support': 16.0}, 'Tool Wear Failure': {'precision': 0.045454545454545456, 'recall': 0.2222222222222222, 'f1-score': 0.07547169811320754, 'support': 9.0}, 'accuracy': 0.9644822411205602, 'macro avg': {'precision': 0.6449473457984096, 'recall': 0.7713608428656281, 'f1-score': 0.685301541579956, 'support': 1999.0}, 'weighted avg': {'precision': 0.983811564067011, 'recall': 0.9644822411205602, 'f1-score': 0.9731259193452847, 'support': 1999.0}}","[[21, 0, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0], [4, 1, 1872, 9, 5, 42], [0, 0, 0, 16, 0, 0], [0, 0, 1, 0, 15, 0], [0, 0, 7, 0, 0, 2]]",5.521
raw,smote_tomek,xgboost,0.9644822411205602,0.7713608428656281,0.685301541579956,0.9731259193452847,0.6449473457984096,0.7713608428656281,"{'Heat Dissipation Failure': {'precision': 0.84, 'recall': 1.0, 'f1-score': 0.9130434782608695, 'support': 21.0}, 'Multiple Failures': {'precision': 0.6666666666666666, 'recall': 0.5, 'f1-score': 0.5714285714285714, 'support': 4.0}, 'No Failure': {'precision': 0.9957446808510638, 'recall': 0.9684428349715468, 'f1-score': 0.981904012588513, 'support': 1933.0}, 'Overstrain Failure': {'precision': 0.64, 'recall': 1.0, 'f1-score': 0.7804878048780488, 'support': 16.0}, 'Power Failure': {'precision': 0.6818181818181818, 'recall': 0.9375, 'f1-score': 0.7894736842105263, 'support': 16.0}, 'Tool Wear Failure': {'precision': 0.045454545454545456, 'recall': 0.2222222222222222, 'f1-score': 0.07547169811320754, 'support': 9.0}, 'accuracy': 0.9644822411205602, 'macro avg': {'precision': 0.6449473457984096, 'recall': 0.7713608428656281, 'f1-score': 0.685301541579956, 'support': 1999.0}, 'weighted avg': {'precision': 0.983811564067011, 'recall': 0.9644822411205602, 'f1-score': 0.9731259193452847, 'support': 1999.0}}","[[21, 0, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0], [4, 1, 1872, 9, 5, 42], [0, 0, 0, 16, 0, 0], [0, 0, 1, 0, 15, 0], [0, 0, 7, 0, 0, 2]]",5.498
raw,none,random_forest,0.9844922461230615,0.6083509882656287,0.6357584401706234,0.9820489508256243,0.742409253983328,0.6083509882656287,"{'Heat Dissipation Failure': {'precision': 0.7916666666666666, 'recall': 0.9047619047619048, 'f1-score': 0.8444444444444444, 'support': 21.0}, 'Multiple Failures': {'precision': 1.0, 'recall': 0.25, 'f1-score': 0.4, 'support': 4.0}, 'No Failure': {'precision': 0.9897119341563786, 'recall': 0.9953440248318676, 'f1-score': 0.9925199896827444, 'support': 1933.0}, 'Overstrain Failure': {'precision': 0.9230769230769231, 'recall': 0.75, 'f1-score': 0.8275862068965517, 'support': 16.0}, 'Power Failure': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 16.0}, 'Tool Wear Failure': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 9.0}, 'accuracy': 0.9844922461230615, 'macro avg': {'precision': 0.742409253983328, 'recall': 0.6083509882656287, 'f1-score': 0.6357584401706234, 'support': 1999.0}, 'weighted avg': {'precision': 0.9807440717826466, 'recall': 0.9844922461230615, 'f1-score': 0.9820489508256243, 'support': 1999.0}}","[[19, 0, 2, 0, 0, 0], [1, 1, 1, 0, 1, 0], [4, 0, 1924, 1, 3, 1], [0, 0, 4, 12, 0, 0], [0, 0, 4, 0, 12, 0], [0, 0, 9, 0, 0, 0]]",3.861
raw,borderline_smote,random_forest,0.9739869934967483,0.6741517934126574,0.625357599567812,0.9754265260360169,0.5968862857247612,0.6741517934126574,"{'Heat Dissipation Failure': {'precision': 0.7, 'recall': 1.0, 'f1-score': 0.8235294117647058, 'support': 21.0}, 'Multiple Failures': {'precision': 0.6666666666666666, 'recall': 0.5, 'f1-score': 0.5714285714285714, 'support': 4.0}, 'No Failure': {'precision': 0.9921630094043887, 'recall': 0.9824107604759441, 'f1-score': 0.9872628021835196, 'support': 1933.0}, 'Overstrain Failure': {'precision': 0.631578947368421, 'recall': 0.75, 'f1-score': 0.6857142857142857, 'support': 16.0}, 'Power Failure': {'precision': 0.5909090909090909, 'recall': 0.8125, 'f1-score': 0.6842105263157895, 'support': 16.0}, 'Tool Wear Failure': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 9.0}, 'accuracy': 0.9739869934967483, 'macro avg': {'precision': 0.5968862857247612, 'recall': 0.6741517934126574, 'f1-score': 0.625357599567812, 'support': 1999.0}, 'weighted avg': {'precision': 0.9778777250914409, 'recall': 0.9739869934967483, 'f1-score': 0.9754265260360169, 'support': 1999.0}}","[[21, 0, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0], [9, 0, 1899, 7, 7, 11], [0, 1, 3, 12, 0, 0], [0, 0, 3, 0, 13, 0], [0, 0, 9, 0, 0, 0]]",39.697
raw,smote_tomek,random_forest,0.9569784892446224,0.7287457368128605,0.6072763824494417,0.9666602983886013,0.5370082902410489,0.7287457368128605,"{'Heat Dissipation Failure': {'precision': 0.7241379310344828, 'recall': 1.0, 'f1-score': 0.84, 'support': 21.0}, 'Multiple Failures': {'precision': 0.3333333333333333, 'recall': 0.5, 'f1-score': 0.4, 'support': 4.0}, 'No Failure': {'precision': 0.9941239316239316, 'recall': 0.9627521986549405, 'f1-score': 0.9781865965834429, 'support': 1933.0}, 'Overstrain Failure': {'precision': 0.5833333333333334, 'recall': 0.875, 'f1-score': 0.7, 'support': 16.0}, 'Power Failure': {'precision': 0.5416666666666666, 'recall': 0.8125, 'f1-score': 0.65, 'support': 16.0}, 'Tool Wear Failure': {'precision': 0.045454545454545456, 'recall': 0.2222222222222222, 'f1-score': 0.07547169811320754, 'support': 9.0}, 'accuracy': 0.9569784892446224, 'macro avg': {'precision': 0.5370082902410489, 'recall': 0.7287457368128605, 'f1-score': 0.6072763824494417, 'support': 1999.0}, 'weighted avg': {'precision': 0.9787848327279681, 'recall': 0.9569784892446224, 'f1-score': 0.9666602983886013, 'support': 1999.0}}","[[21, 0, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0], [8, 3, 1861, 10, 9, 42], [0, 1, 1, 14, 0, 0], [0, 0, 3, 0, 13, 0], [0, 0, 7, 0, 0, 2]]",41.412
raw,smote,random_forest,0.9569784892446224,0.7287457368128605,0.6072763824494417,0.9666602983886013,0.5370082902410489,0.7287457368128605,"{'Heat Dissipation Failure': {'precision': 0.7241379310344828, 'recall': 1.0, 'f1-score': 0.84, 'support': 21.0}, 'Multiple Failures': {'precision': 0.3333333333333333, 'recall': 0.5, 'f1-score': 0.4, 'support': 4.0}, 'No Failure': {'precision': 0.9941239316239316, 'recall': 0.9627521986549405, 'f1-score': 0.9781865965834429, 'support': 1933.0}, 'Overstrain Failure': {'precision': 0.5833333333333334, 'recall': 0.875, 'f1-score': 0.7, 'support': 16.0}, 'Power Failure': {'precision': 0.5416666666666666, 'recall': 0.8125, 'f1-score': 0.65, 'support': 16.0}, 'Tool Wear Failure': {'precision': 0.045454545454545456, 'recall': 0.2222222222222222, 'f1-score': 0.07547169811320754, 'support': 9.0}, 'accuracy': 0.9569784892446224, 'macro avg': {'precision': 0.5370082902410489, 'recall': 0.7287457368128605, 'f1-score': 0.6072763824494417, 'support': 1999.0}, 'weighted avg': {'precision': 0.9787848327279681, 'recall': 0.9569784892446224, 'f1-score': 0.9666602983886013, 'support': 1999.0}}","[[21, 0, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0], [8, 3, 1861, 10, 9, 42], [0, 1, 1, 14, 0, 0], [0, 0, 3, 0, 13, 0], [0, 0, 7, 0, 0, 2]]",40.599
raw,borderline_smote,logistic_regression,0.8994497248624312,0.7975197386248861,0.5167172136753058,0.9315749465046949,0.432048687304946,0.7975197386248861,"{'Heat Dissipation Failure': {'precision': 0.2878787878787879, 'recall': 0.9047619047619048, 'f1-score': 0.4367816091954023, 'support': 21.0}, 'Multiple Failures': {'precision': 0.3333333333333333, 'recall': 0.5, 'f1-score': 0.4, 'support': 4.0}, 'No Failure': {'precision': 0.9982808022922636, 'recall': 0.901189860320745, 'f1-score': 0.9472539423599783, 'support': 1933.0}, 'Overstrain Failure': {'precision': 0.40625, 'recall': 0.8125, 'f1-score': 0.5416666666666666, 'support': 16.0}, 'Power Failure': {'precision': 0.5161290322580645, 'recall': 1.0, 'f1-score': 0.6808510638297872, 'support': 16.0}, 'Tool Wear Failure': {'precision': 0.05042016806722689, 'recall': 0.6666666666666666, 'f1-score': 0.09375, 'support': 9.0}, 'accuracy': 0.8994497248624312, 'macro avg': {'precision': 0.432048687304946, 'recall': 0.7975197386248861, 'f1-score': 0.5167172136753058, 'support': 1999.0}, 'weighted avg': {'precision': 0.9766220233809242, 'recall': 0.8994497248624312, 'f1-score': 0.9315749465046949, 'support': 1999.0}}","[[19, 0, 0, 1, 0, 1], [1, 2, 0, 0, 1, 0], [46, 1, 1742, 18, 14, 112], [0, 3, 0, 13, 0, 0], [0, 0, 0, 0, 16, 0], [0, 0, 3, 0, 0, 6]]",2.91
raw,smote,logistic_regression,0.8769384692346173,0.8201739079261067,0.4734186378719265,0.9173173485111606,0.38977615080134836,0.8201739079261067,"{'Heat Dissipation Failure': {'precision': 0.2638888888888889, 'recall': 0.9047619047619048, 'f1-score': 0.40860215053763443, 'support': 21.0}, 'Multiple Failures': {'precision': 0.2857142857142857, 'recall': 0.5, 'f1-score': 0.36363636363636365, 'support': 4.0}, 'No Failure': {'precision': 0.9994107248084856, 'recall': 0.8773926539058459, 'f1-score': 0.934435261707989, 'support': 1933.0}, 'Overstrain Failure': {'precision': 0.3939393939393939, 'recall': 0.8125, 'f1-score': 0.5306122448979592, 'support': 16.0}, 'Power Failure': {'precision': 0.3409090909090909, 'recall': 0.9375, 'f1-score': 0.5, 'support': 16.0}, 'Tool Wear Failure': {'precision': 0.0547945205479452, 'recall': 0.8888888888888888, 'f1-score': 0.1032258064516129, 'support': 9.0}, 'accuracy': 0.8769384692346173, 'macro avg': {'precision': 0.38977615080134836, 'recall': 0.8201739079261067, 'f1-score': 0.4734186378719265, 'support': 1999.0}, 'weighted avg': {'precision': 0.9758860336702521, 'recall': 0.8769384692346173, 'f1-score': 0.9173173485111606, 'support': 1999.0}}","[[19, 0, 0, 1, 0, 1], [1, 2, 0, 0, 1, 0], [52, 1, 1696, 19, 28, 137], [0, 3, 0, 13, 0, 0], [0, 1, 0, 0, 15, 0], [0, 0, 1, 0, 0, 8]]",2.326
raw,smote_tomek,logistic_regression,0.8769384692346173,0.8201739079261067,0.4734186378719265,0.9173173485111606,0.38977615080134836,0.8201739079261067,"{'Heat Dissipation Failure': {'precision': 0.2638888888888889, 'recall': 0.9047619047619048, 'f1-score': 0.40860215053763443, 'support': 21.0}, 'Multiple Failures': {'precision': 0.2857142857142857, 'recall': 0.5, 'f1-score': 0.36363636363636365, 'support': 4.0}, 'No Failure': {'precision': 0.9994107248084856, 'recall': 0.8773926539058459, 'f1-score': 0.934435261707989, 'support': 1933.0}, 'Overstrain Failure': {'precision': 0.3939393939393939, 'recall': 0.8125, 'f1-score': 0.5306122448979592, 'support': 16.0}, 'Power Failure': {'precision': 0.3409090909090909, 'recall': 0.9375, 'f1-score': 0.5, 'support': 16.0}, 'Tool Wear Failure': {'precision': 0.0547945205479452, 'recall': 0.8888888888888888, 'f1-score': 0.1032258064516129, 'support': 9.0}, 'accuracy': 0.8769384692346173, 'macro avg': {'precision': 0.38977615080134836, 'recall': 0.8201739079261067, 'f1-score': 0.4734186378719265, 'support': 1999.0}, 'weighted avg': {'precision': 0.9758860336702521, 'recall': 0.8769384692346173, 'f1-score': 0.9173173485111606, 'support': 1999.0}}","[[19, 0, 0, 1, 0, 1], [1, 2, 0, 0, 1, 0], [52, 1, 1696, 19, 28, 137], [0, 3, 0, 13, 0, 0], [0, 1, 0, 0, 15, 0], [0, 0, 1, 0, 0, 8]]",2.86
raw,none,logistic_regression,0.8494247123561781,0.8623751837344699,0.44483806173809165,0.8993990224614141,0.3614841990354986,0.8623751837344699,"{'Heat Dissipation Failure': {'precision': 0.22727272727272727, 'recall': 0.9523809523809523, 'f1-score': 0.3669724770642202, 'support': 21.0}, 'Multiple Failures': {'precision': 0.25, 'recall': 0.5, 'f1-score': 0.3333333333333333, 'support': 4.0}, 'No Failure': {'precision': 1.0, 'recall': 0.8468701500258665, 'f1-score': 0.9170868347338935, 'support': 1933.0}, 'Overstrain Failure': {'precision': 0.32558139534883723, 'recall': 0.875, 'f1-score': 0.4745762711864407, 'support': 16.0}, 'Power Failure': {'precision': 0.3137254901960784, 'recall': 1.0, 'f1-score': 0.47761194029850745, 'support': 16.0}, 'Tool Wear Failure': {'precision': 0.05232558139534884, 'recall': 1.0, 'f1-score': 0.09944751381215469, 'support': 9.0}, 'accuracy': 0.8494247123561781, 'macro avg': {'precision': 0.3614841990354986, 'recall': 0.8623751837344699, 'f1-score': 0.44483806173809165, 'support': 1999.0}, 'weighted avg': {'precision': 0.9752238957848944, 'recall': 0.8494247123561781, 'f1-score': 0.8993990224614141, 'support': 1999.0}}","[[20, 1, 0, 0, 0, 0], [1, 2, 0, 0, 1, 0], [67, 3, 1637, 29, 34, 163], [0, 2, 0, 14, 0, 0], [0, 0, 0, 0, 16, 0], [0, 0, 0, 0, 0, 9]]",0.41
